rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
33,Portugal,POR,38,0,0,UEFA,1992-12-31
34,Austria,AUT,38,0,0,UEFA,1992-12-31
35,Colombia,COL,36,0,0,CONMEBOL,1992-12-31
19,France,FRA,46,0,0,UEFA,1992-12-31
36,Hungary,HUN,36,0,0,UEFA,1992-12-31
18,Czechoslovakia,TCH,47,0,0,UEFA,1992-12-31
16,Uruguay,URU,48,0,0,CONMEBOL,1992-12-31
74,Madagascar,MAD,18,0,0,CAF,1992-12-31
2,Italy,ITA,57,0,0,UEFA,1992-12-31
3,Brazil,BRA,56,0,0,CONMEBOL,1992-12-31
4,Sweden,SWE,56,0,0,UEFA,1992-12-31
5,England,ENG,55,0,0,UEFA,1992-12-31
6,Republic of Ireland,IRL,54,0,0,UEFA,1992-12-31
7,Netherlands,NED,54,0,0,UEFA,1992-12-31
8,Russia,RUS,52,0,0,UEFA,1992-12-31
9,Denmark,DEN,52,0,0,UEFA,1992-12-31
10,Argentina,ARG,51,0,0,CONMEBOL,1992-12-31
11,Romania,ROU,51,0,0,UEFA,1992-12-31
12,Switzerland,SUI,51,0,0,UEFA,1992-12-31
13,Nigeria,NGA,50,0,0,CAF,1992-12-31
14,Norway,NOR,49,0,0,UEFA,1992-12-31
15,Spain,ESP,49,0,0,UEFA,1992-12-31
17,Belgium,BEL,48,0,0,UEFA,1992-12-31
37,Costa Rica,CRC,35,0,0,CONCACAF,1992-12-31
20,Poland,POL,46,0,0,UEFA,1992-12-31
72,Cyprus,CYP,20,0,0,UEFA,1992-12-31
57,Canada,CAN,25,0,0,CONCACAF,1992-12-31
58,Bermuda,BER,25,0,0,CONCACAF,1992-12-31
59,United Arab Emirates,UAE,25,0,0,AFC,1992-12-31
60,Zaire,ZAI,25,0,0,CAF,1992-12-31
61,IR Iran,IRN,24,0,0,AFC,1992-12-31
63,Guinea,GUI,24,0,0,CAF,1992-12-31
64,Israel,ISR,23,0,0,UEFA,1992-12-31
65,Ecuador,ECU,23,0,0,CONMEBOL,1992-12-31
66,Japan,JPN,22,0,0,AFC,1992-12-31
67,Jamaica,JAM,22,0,0,CONCACAF,1992-12-31
68,Paraguay,PAR,22,0,0,CONMEBOL,1992-12-31
69,Mali,MLI,22,0,0,CAF,1992-12-31
70,New Zealand,NZL,22,0,0,OFC,1992-12-31
71,Kuwait,KUW,21,0,0,AFC,1992-12-31
38,Tunisia,TUN,35,0,0,CAF,1992-12-31
56,China PR,CHN,26,0,0,AFC,1992-12-31
55,Gabon,GAB,27,0,0,CAF,1992-12-31
62,Trinidad and Tobago,TRI,24,0,0,CONCACAF,1992-12-31
39,Ghana,GHA,34,0,0,CAF,1992-12-31
54,Zimbabwe,ZIM,27,0,0,CAF,1992-12-31
40,Honduras,HON,32,0,0,CONCACAF,1992-12-31
41,Morocco,MAR,32,0,0,CAF,1992-12-31
42,Turkey,TUR,31,0,0,UEFA,1992-12-31
43,Northern Ireland,NIR,31,0,0,UEFA,1992-12-31
45,Australia,AUS,29,0,0,AFC,1992-12-31
46,Iceland,ISL,29,0,0,UEFA,1992-12-31
44,Finland,FIN,31,0,0,UEFA,1992-12-31
48,Saudi Arabia,KSA,28,0,0,AFC,1992-12-31
49,Korea Republic,KOR,28,0,0,AFC,1992-12-31
50,El Salvador,SLV,28,0,0,CONCACAF,1992-12-31
51,Senegal,SEN,27,0,0,CAF,1992-12-31
52,Qatar,QAT,27,0,0,AFC,1992-12-31
53,Malawi,MWI,27,0,0,CAF,1992-12-31
47,Chile,CHI,28,0,0,CONMEBOL,1992-12-31
98,Indonesia,IDN,14,9,-10,AFC,1993-08-08
103,Hong Kong,HKG,12,5,-16,AFC,1993-08-08
99,Liberia,LBR,12,15,15,CAF,1993-08-08
100,Mozambique,MOZ,12,9,-7,CAF,1993-08-08
101,Puerto Rico,PUR,12,5,-21,CONCACAF,1993-08-08
102,Eswatini,SWZ,12,10,-2,CAF,1993-08-08
104,Uganda,UGA,11,12,12,CAF,1993-08-08
112,Guatemala,GUA,10,15,29,CONCACAF,1993-08-08
106,Myanmar,MYA,11,0,-46,AFC,1993-08-08
107,Congo,CGO,11,13,17,CAF,1993-08-08
108,Lebanon,LBN,11,0,-53,AFC,1993-08-08
109,South Africa,RSA,11,5,-15,CAF,1993-08-08
110,Luxembourg,LUX,11,10,7,UEFA,1993-08-08
111,Faroe Islands,FRO,11,12,17,UEFA,1993-08-08
97,Oman,OMA,14,6,-19,AFC,1993-08-08
105,Barbados,BRB,11,7,-9,CONCACAF,1993-08-08
96,Burundi,BDI,14,10,-4,CAF,1993-08-08
79,Bahrain,BHR,21,13,-9,AFC,1993-08-08
94,Venezuela,VEN,14,5,-31,CONMEBOL,1993-08-08
113,Burkina Faso,BFA,10,11,16,CAF,1993-08-08
80,New Zealand,NZL,21,22,10,OFC,1993-08-08
81,Madagascar,MAD,21,18,7,CAF,1993-08-08
82,Malta,MLT,19,19,9,UEFA,1993-08-08
83,Jamaica,JAM,19,22,16,CONCACAF,1993-08-08
84,Lithuania,LTU,19,12,-9,UEFA,1993-08-08
85,Trinidad and Tobago,TRI,18,24,23,CONCACAF,1993-08-08
86,Sierra Leone,SLE,18,16,7,CAF,1993-08-08
87,Jordan,JOR,17,8,-23,AFC,1993-08-08
88,Kenya,KEN,17,17,12,CAF,1993-08-08
89,Latvia,LVA,17,10,-10,UEFA,1993-08-08
90,Yemen,YEM,17,6,-25,AFC,1993-08-08
91,Tanzania,TAN,15,15,11,CAF,1993-08-08
92,Albania,ALB,15,14,6,UEFA,1993-08-08
93,Angola,ANG,15,10,-9,CAF,1993-08-08
95,Ethiopia,ETH,14,14,10,CAF,1993-08-08
114,Togo,TOG,10,10,13,CAF,1993-08-08
152,Seychelles,SEY,1,1,5,CAF,1993-08-08
116,Fiji,FIJ,9,9,10,OFC,1993-08-08
137,Tahiti,TAH,4,5,14,OFC,1993-08-08
138,Grenada,GRN,4,5,17,CONCACAF,1993-08-08
139,Haiti,HAI,3,4,9,CONCACAF,1993-08-08
140,Libya,LBY,2,2,3,CAF,1993-08-08
141,Laos,LAO,2,0,0,AFC,1993-08-08
142,Mauritania,MTN,2,3,8,CAF,1993-08-08
143,Cape Verde Islands,CPV,2,3,8,CAF,1993-08-08
144,Solomon Islands,SOL,2,2,8,OFC,1993-08-08
145,Brunei Darussalam,BRU,2,2,5,AFC,1993-08-08
146,Lesotho,LES,2,2,4,CAF,1993-08-08
148,Dominican Republic,DOM,2,2,7,CONCACAF,1993-08-08
149,Pakistan,PAK,1,1,4,AFC,1993-08-08
150,Nicaragua,NCA,1,0,-4,CONCACAF,1993-08-08
151,Cuba,CUB,1,1,7,CONCACAF,1993-08-08
78,Syria,SYR,21,11,-18,AFC,1993-08-08
136,St. Lucia,LCA,4,6,18,CONCACAF,1993-08-08
115,Suriname,SUR,9,12,20,CONCACAF,1993-08-08
135,Botswana,BOT,5,2,-4,CAF,1993-08-08
133,Guinea-Bissau,GNB,5,6,16,CAF,1993-08-08
117,Croatia,CRO,9,7,4,UEFA,1993-08-08
118,Estonia,EST,8,3,-14,UEFA,1993-08-08
119,San Marino,SMR,8,4,-7,UEFA,1993-08-08
120,Bangladesh,BAN,8,3,-13,AFC,1993-08-08
121,St. Vincent and the Grenadines,VIN,8,9,16,CONCACAF,1993-08-08
123,Mauritius,MRI,8,7,11,CAF,1993-08-08
124,Benin,BEN,7,4,-3,CAF,1993-08-08
125,Panama,PAN,7,5,5,CONCACAF,1993-08-08
126,Sudan,SDN,7,7,15,CAF,1993-08-08
127,Antigua and Barbuda,ATG,7,8,18,CONCACAF,1993-08-08
128,Slovenia,SVN,6,3,-3,UEFA,1993-08-08
129,India,IND,6,2,-14,AFC,1993-08-08
130,Belarus,BLR,5,1,-16,UEFA,1993-08-08
131,Ukraine,UKR,5,4,2,UEFA,1993-08-08
132,Vietnam,VIE,5,0,0,AFC,1993-08-08
134,Guyana,GUY,5,4,6,CONCACAF,1993-08-08
77,Niger,NIG,21,15,-4,CAF,1993-08-08
2,Italy,ITA,57,57,0,UEFA,1993-08-08
75,Malaysia,MAS,22,13,-16,AFC,1993-08-08
20,Poland,POL,48,46,0,UEFA,1993-08-08
21,Romania,ROU,47,51,10,UEFA,1993-08-08
22,Uruguay,URU,46,48,6,CONMEBOL,1993-08-08
23,Portugal,POR,46,38,-10,UEFA,1993-08-08
24,Cameroon,CMR,45,43,2,CAF,1993-08-08
25,Zambia,ZAM,45,38,-7,CAF,1993-08-08
26,Egypt,EGY,44,45,5,CAF,1993-08-08
27,Wales,WAL,44,40,-1,UEFA,1993-08-08
28,USA,USA,44,43,4,CONCACAF,1993-08-08
29,Côte d'Ivoire,CIV,43,41,2,CAF,1993-08-08
30,Scotland,SCO,42,43,7,UEFA,1993-08-08
31,Tunisia,TUN,40,35,-7,CAF,1993-08-08
32,Greece,GRE,40,38,1,UEFA,1993-08-08
33,Morocco,MAR,40,32,-8,CAF,1993-08-08
34,Algeria,ALG,40,39,4,CAF,1993-08-08
19,Colombia,COL,48,36,-16,CONMEBOL,1993-08-08
35,Ecuador,ECU,40,23,-30,CONMEBOL,1993-08-08
18,Belgium,BEL,48,48,1,UEFA,1993-08-08
16,Netherlands,NED,50,54,9,UEFA,1993-08-08
1,Germany,GER,58,57,0,UEFA,1993-08-08
153,Central African Republic,CTA,1,1,5,CAF,1993-08-08
3,Switzerland,SUI,57,51,-9,UEFA,1993-08-08
4,Sweden,SWE,56,56,0,UEFA,1993-08-08
5,Argentina,ARG,56,51,-5,CONMEBOL,1993-08-08
6,Republic of Ireland,IRL,55,54,0,UEFA,1993-08-08
7,Russia,RUS,55,52,-1,UEFA,1993-08-08
8,Brazil,BRA,54,56,5,CONMEBOL,1993-08-08
9,Norway,NOR,54,49,-5,UEFA,1993-08-08
10,Denmark,DEN,53,52,1,UEFA,1993-08-08
11,England,ENG,53,55,6,UEFA,1993-08-08
12,France,FRA,52,46,-7,UEFA,1993-08-08
13,Spain,ESP,51,49,-2,UEFA,1993-08-08
14,Mexico,MEX,50,43,-11,CONCACAF,1993-08-08
15,Czechoslovakia,TCH,50,47,-3,UEFA,1993-08-08
17,Nigeria,NGA,50,50,4,CAF,1993-08-08
36,Korea Republic,KOR,40,28,-13,AFC,1993-08-08
37,Bulgaria,BUL,39,41,11,UEFA,1993-08-08
38,Austria,AUT,39,38,4,UEFA,1993-08-08
59,Bolivia,BOL,31,14,-28,CONMEBOL,1993-08-08
60,Kuwait,KUW,30,21,-11,AFC,1993-08-08
61,Korea DPR,PRK,30,16,-16,AFC,1993-08-08
62,El Salvador,SLV,30,28,12,CONCACAF,1993-08-08
63,Turkey,TUR,29,31,21,UEFA,1993-08-08
64,Gabon,GAB,29,27,9,CAF,1993-08-08
65,Guinea,GUI,28,24,2,CAF,1993-08-08
66,Thailand,THA,27,18,-9,AFC,1993-08-08
67,Paraguay,PAR,27,22,-1,CONMEBOL,1993-08-08
68,Malawi,MWI,27,27,15,CAF,1993-08-08
69,Israel,ISR,26,23,5,UEFA,1993-08-08
70,Peru,PER,26,16,-8,CONMEBOL,1993-08-08
71,Zaire,ZAI,25,25,11,CAF,1993-08-08
72,Cyprus,CYP,25,20,0,UEFA,1993-08-08
73,Singapore,SGP,24,13,-16,AFC,1993-08-08
58,Senegal,SEN,31,27,7,CAF,1993-08-08
57,Iraq,IRQ,31,15,-25,AFC,1993-08-08
56,Yugoslavia,YUG,31,39,27,UEFA,1993-08-08
55,United Arab Emirates,UAE,31,25,-4,AFC,1993-08-08
39,Costa Rica,CRC,38,35,2,CONCACAF,1993-08-08
40,Northern Ireland,NIR,37,31,-3,UEFA,1993-08-08
41,Honduras,HON,37,32,1,CONCACAF,1993-08-08
42,Hungary,HUN,37,36,6,UEFA,1993-08-08
43,Japan,JPN,35,22,-23,AFC,1993-08-08
44,Saudi Arabia,KSA,34,28,-4,AFC,1993-08-08
45,China PR,CHN,34,26,-11,AFC,1993-08-08
76,Bermuda,BER,22,25,18,CONCACAF,1993-08-08
46,Canada,CAN,34,25,-11,CONCACAF,1993-08-08
48,Ghana,GHA,34,34,9,CAF,1993-08-08
49,Chile,CHI,34,28,2,CONMEBOL,1993-08-08
50,Zimbabwe,ZIM,33,27,-4,CAF,1993-08-08
51,Qatar,QAT,32,27,-1,AFC,1993-08-08
52,Australia,AUS,32,29,7,AFC,1993-08-08
53,Iceland,ISL,32,29,7,UEFA,1993-08-08
54,IR Iran,IRN,32,24,-7,AFC,1993-08-08
47,Finland,FIN,34,31,3,UEFA,1993-08-08
154,Gambia,GAM,1,1,4,CAF,1993-08-08
74,Mali,MLI,24,22,5,CAF,1993-08-08
1,Brazil,BRA,59,54,-7,CONMEBOL,1993-09-23
99,Tanzania,TAN,14,15,8,CAF,1993-09-23
100,Oman,OMA,14,14,3,AFC,1993-09-23
101,Congo,CGO,13,11,-6,CAF,1993-09-23
102,Indonesia,IDN,13,14,4,AFC,1993-09-23
103,Mozambique,MOZ,12,12,3,CAF,1993-09-23
104,Togo,TOG,12,10,-10,CAF,1993-09-23
105,Puerto Rico,PUR,12,12,4,CONCACAF,1993-09-23
106,Hong Kong,HKG,11,12,3,AFC,1993-09-23
107,Myanmar,MYA,11,11,1,AFC,1993-09-23
108,Barbados,BRB,11,11,3,CONCACAF,1993-09-23
109,Lebanon,LBN,11,11,1,AFC,1993-09-23
110,Luxembourg,LUX,11,11,0,UEFA,1993-09-23
111,Faroe Islands,FRO,10,11,0,UEFA,1993-09-23
112,Liberia,LBR,10,12,13,CAF,1993-09-23
113,Guatemala,GUA,10,10,1,CONCACAF,1993-09-23
98,Burundi,BDI,14,14,2,CAF,1993-09-23
114,Suriname,SUR,9,9,-1,CONCACAF,1993-09-23
97,Angola,ANG,15,15,4,CAF,1993-09-23
95,South Africa,RSA,16,11,-14,CAF,1993-09-23
80,Bahrain,BHR,21,21,1,AFC,1993-09-23
81,Syria,SYR,21,21,3,AFC,1993-09-23
82,Niger,NIG,21,21,5,CAF,1993-09-23
83,Madagascar,MAD,20,21,2,CAF,1993-09-23
84,New Zealand,NZL,20,21,4,OFC,1993-09-23
85,Malta,MLT,19,19,3,UEFA,1993-09-23
86,Lithuania,LTU,19,19,2,UEFA,1993-09-23
87,Latvia,LVA,17,17,-2,UEFA,1993-09-23
88,Trinidad and Tobago,TRI,17,18,3,CONCACAF,1993-09-23
89,Jordan,JOR,17,17,2,AFC,1993-09-23
90,Yemen,YEM,17,17,0,AFC,1993-09-23
91,Albania,ALB,17,15,-1,UEFA,1993-09-23
92,Ethiopia,ETH,16,14,-3,CAF,1993-09-23
93,Eswatini,SWZ,16,12,-9,CAF,1993-09-23
94,Venezuela,VEN,16,14,0,CONMEBOL,1993-09-23
96,Uganda,UGA,16,11,-8,CAF,1993-09-23
115,Sudan,SDN,9,7,-11,CAF,1993-09-23
116,Croatia,CRO,9,9,-1,UEFA,1993-09-23
117,Estonia,EST,9,8,-1,UEFA,1993-09-23
139,Grenada,GRN,4,4,1,CONCACAF,1993-09-23
140,Haiti,HAI,3,3,1,CONCACAF,1993-09-23
141,Laos,LAO,2,2,0,AFC,1993-09-23
142,Cape Verde Islands,CPV,2,2,-1,CAF,1993-09-23
143,Solomon Islands,SOL,2,2,-1,OFC,1993-09-23
144,Mauritania,MTN,2,2,2,CAF,1993-09-23
145,Brunei Darussalam,BRU,2,2,0,AFC,1993-09-23
147,Libya,LBY,2,2,7,CAF,1993-09-23
148,Dominican Republic,DOM,2,2,0,CONCACAF,1993-09-23
149,Pakistan,PAK,1,1,0,AFC,1993-09-23
150,Nicaragua,NCA,1,1,0,CONCACAF,1993-09-23
151,Cuba,CUB,1,1,0,CONCACAF,1993-09-23
152,Gambia,GAM,1,1,-2,CAF,1993-09-23
152,Seychelles,SEY,1,1,0,CAF,1993-09-23
2,Italy,ITA,57,57,0,UEFA,1993-09-23
138,Tahiti,TAH,4,4,1,OFC,1993-09-23
137,St. Lucia,LCA,4,4,1,CONCACAF,1993-09-23
136,Botswana,BOT,4,5,1,CAF,1993-09-23
135,Lesotho,LES,5,2,-11,CAF,1993-09-23
118,San Marino,SMR,8,8,-1,UEFA,1993-09-23
119,Burkina Faso,BFA,8,10,6,CAF,1993-09-23
119,Bangladesh,BAN,8,8,-1,AFC,1993-09-23
121,Fiji,FIJ,8,9,5,OFC,1993-09-23
123,St. Vincent and the Grenadines,VIN,8,8,2,CONCACAF,1993-09-23
124,Benin,BEN,7,7,0,CAF,1993-09-23
124,Mauritius,MRI,7,8,1,CAF,1993-09-23
79,Sierra Leone,SLE,21,18,-7,CAF,1993-09-23
126,Panama,PAN,7,7,1,CONCACAF,1993-09-23
128,Slovenia,SVN,6,6,0,UEFA,1993-09-23
129,India,IND,6,6,0,AFC,1993-09-23
130,Guinea-Bissau,GNB,5,5,-3,CAF,1993-09-23
131,Belarus,BLR,5,5,1,UEFA,1993-09-23
132,Ukraine,UKR,5,5,1,UEFA,1993-09-23
133,Vietnam,VIE,5,5,1,AFC,1993-09-23
134,Guyana,GUY,5,5,0,CONCACAF,1993-09-23
127,Antigua and Barbuda,ATG,7,7,0,CONCACAF,1993-09-23
78,Bermuda,BER,22,22,2,CONCACAF,1993-09-23
154,Central African Republic,CTA,1,1,1,CAF,1993-09-23
76,Jamaica,JAM,22,19,-7,CONCACAF,1993-09-23
21,Portugal,POR,47,46,-2,UEFA,1993-09-23
23,Cameroon,CMR,46,45,-1,CAF,1993-09-23
24,Belgium,BEL,45,48,6,UEFA,1993-09-23
25,Egypt,EGY,45,44,-1,CAF,1993-09-23
26,USA,USA,45,44,-2,CONCACAF,1993-09-23
27,Zambia,ZAM,44,45,2,CAF,1993-09-23
28,Scotland,SCO,44,42,-2,UEFA,1993-09-23
29,Wales,WAL,43,44,2,UEFA,1993-09-23
30,Algeria,ALG,43,40,-4,CAF,1993-09-23
31,Côte d'Ivoire,CIV,43,43,2,CAF,1993-09-23
32,Morocco,MAR,42,40,-1,CAF,1993-09-23
33,Austria,AUT,41,39,-5,UEFA,1993-09-23
34,Tunisia,TUN,41,40,3,CAF,1993-09-23
35,Greece,GRE,40,40,3,UEFA,1993-09-23
36,Korea Republic,KOR,39,40,0,AFC,1993-09-23
20,Romania,ROU,48,47,-1,UEFA,1993-09-23
37,Bulgaria,BUL,39,39,0,UEFA,1993-09-23
19,Colombia,COL,50,48,0,CONMEBOL,1993-09-23
17,Czechoslovakia,TCH,50,50,2,UEFA,1993-09-23
77,Malaysia,MAS,22,22,2,AFC,1993-09-23
3,Norway,NOR,57,54,-6,UEFA,1993-09-23
4,Denmark,DEN,56,53,-6,UEFA,1993-09-23
5,England,ENG,56,53,-6,UEFA,1993-09-23
5,Germany,GER,56,58,4,UEFA,1993-09-23
7,France,FRA,56,52,-5,UEFA,1993-09-23
8,Russia,RUS,55,55,1,UEFA,1993-09-23
9,Republic of Ireland,IRL,55,55,3,UEFA,1993-09-23
10,Switzerland,SUI,55,57,7,UEFA,1993-09-23
11,Sweden,SWE,55,56,7,UEFA,1993-09-23
12,Argentina,ARG,55,56,7,CONMEBOL,1993-09-23
13,Netherlands,NED,53,50,-3,UEFA,1993-09-23
14,Spain,ESP,53,51,1,UEFA,1993-09-23
15,Uruguay,URU,51,46,-7,CONMEBOL,1993-09-23
16,Mexico,MEX,51,50,2,CONCACAF,1993-09-23
18,Nigeria,NGA,50,50,1,CAF,1993-09-23
38,Costa Rica,CRC,38,38,-1,CONCACAF,1993-09-23
22,Poland,POL,47,48,2,UEFA,1993-09-23
40,Northern Ireland,NIR,37,37,0,UEFA,1993-09-23
60,Guinea,GUI,30,28,-5,CAF,1993-09-23
61,Kuwait,KUW,30,30,1,AFC,1993-09-23
62,Yugoslavia,YUG,30,31,6,UEFA,1993-09-23
63,El Salvador,SLV,30,30,1,CONCACAF,1993-09-23
64,Korea DPR,PRK,30,30,3,AFC,1993-09-23
65,Australia,AUS,29,32,13,AFC,1993-09-23
66,Turkey,TUR,27,29,3,UEFA,1993-09-23
59,Iraq,IRQ,30,31,2,AFC,1993-09-23
67,Thailand,THA,27,27,1,AFC,1993-09-23
69,Zaire,ZAI,27,25,-2,CAF,1993-09-23
70,Mali,MLI,27,24,-4,CAF,1993-09-23
71,Israel,ISR,26,26,2,UEFA,1993-09-23
72,Kenya,KEN,25,17,-16,CAF,1993-09-23
73,Peru,PER,25,26,3,CONMEBOL,1993-09-23
39,Honduras,HON,38,37,-2,CONCACAF,1993-09-23
75,Singapore,SGP,24,24,2,AFC,1993-09-23
68,Malawi,MWI,27,27,0,CAF,1993-09-23
58,IR Iran,IRN,31,32,4,AFC,1993-09-23
74,Cyprus,CYP,25,25,2,UEFA,1993-09-23
56,United Arab Emirates,UAE,31,31,1,AFC,1993-09-23
57,Senegal,SEN,31,31,-1,CAF,1993-09-23
43,Japan,JPN,35,35,0,AFC,1993-09-23
44,Saudi Arabia,KSA,34,34,0,AFC,1993-09-23
45,China PR,CHN,34,34,0,AFC,1993-09-23
46,Canada,CAN,34,34,0,CONCACAF,1993-09-23
47,Zimbabwe,ZIM,34,33,-3,CAF,1993-09-23
48,Hungary,HUN,34,37,6,UEFA,1993-09-23
42,Ghana,GHA,37,34,-6,CAF,1993-09-23
50,Finland,FIN,33,34,3,UEFA,1993-09-23
51,Gabon,GAB,33,29,-13,CAF,1993-09-23
52,Chile,CHI,33,34,3,CONMEBOL,1993-09-23
53,Bolivia,BOL,32,31,-6,CONMEBOL,1993-09-23
54,Qatar,QAT,32,32,3,AFC,1993-09-23
55,Paraguay,PAR,32,27,-12,CONMEBOL,1993-09-23
41,Ecuador,ECU,37,40,6,CONMEBOL,1993-09-23
49,Iceland,ISL,34,32,-4,UEFA,1993-09-23
23,Poland,POL,46,47,1,UEFA,1993-10-22
22,Cameroon,CMR,47,46,-1,CAF,1993-10-22
21,Czechoslovakia,TCH,47,50,4,UEFA,1993-10-22
20,Portugal,POR,49,47,-1,UEFA,1993-10-22
19,Colombia,COL,49,50,0,CONMEBOL,1993-10-22
18,Mexico,MEX,51,51,2,CONCACAF,1993-10-22
15,Romania,ROU,52,48,-5,UEFA,1993-10-22
16,Nigeria,NGA,52,50,-2,CAF,1993-10-22
14,France,FRA,53,56,7,UEFA,1993-10-22
13,Switzerland,SUI,53,55,3,UEFA,1993-10-22
11,Russia,RUS,55,55,3,UEFA,1993-10-22
11,Republic of Ireland,IRL,55,55,2,UEFA,1993-10-22
24,Belgium,BEL,46,45,0,UEFA,1993-10-22
17,Uruguay,URU,51,51,2,CONMEBOL,1993-10-22
