sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,firmid,postevent,NJ,emp
11,1,0,1,0,1,0,0,0,0,2,10,30,4,4.25,26,0.1,0,80,2,7,16,1.09,0.89,0.91,3,3,1,1,111792,1,12,24,3,5.05,,,0,2,7,16,1.05,0.87,0.94,3,2,9,1,1,36
12,1,0,1,0,1,0,0,0,0,0,6.5,23.5,3,4.37,9,0.1,0,100,2,7,16,1.05,0.79,0.91,3,3,1,1,111892,3,15,15,4,5.05,26,0.25,0,3,7,16,1.01,0.92,0.94,3,2,10,0,1,30
12,1,0,1,0,1,0,0,0,0,0,6.5,23.5,3,4.37,9,0.1,0,100,2,7,16,1.05,0.79,0.91,3,3,1,1,111892,3,15,15,4,5.05,26,0.25,0,3,7,16,1.01,0.92,0.94,3,2,10,1,1,30
13,2,0,1,0,1,0,0,0,0,0,0,25,3,4.5,7,0.25,0,100,2,11,10,1.06,0.95,2.66,5,4,1,1,111792,1,2,11,3,5,13,0.25,0,1,11,11,1.01,0.94,2.75,4,3,11,0,1,25
13,2,0,1,0,1,0,0,0,0,0,0,25,3,4.5,7,0.25,0,100,2,11,10,1.06,0.95,2.66,5,4,1,1,111792,1,2,11,3,5,13,0.25,0,1,11,11,1.01,0.94,2.75,4,3,11,1,1,13
14,2,0,1,0,1,0,0,0,0,0,10,8,2,5.12,6,0.25,0,0,3,11,11,1.06,0.85,2.49,6,5,1,1,110592,,4,17,3,5.05,13,0.25,1,2,11,11,1.05,0.94,2.6,6,3,12,0,1,18
14,2,0,1,0,1,0,0,0,0,0,10,8,2,5.12,6,0.25,0,0,3,11,11,1.06,0.85,2.49,6,5,1,1,110592,,4,17,3,5.05,13,0.25,1,2,11,11,1.05,0.94,2.6,6,3,12,1,1,21
15,3,0,1,0,1,0,0,0,0,3,3,25,4,4.6,9,0.15,1,95,2,6,17,1.02,0.98,0.95,5,4,2,1,121092,5,5,20,3,5.05,,0.25,0,2,6,17,1.05,1.01,2,3,3,13,0,1,28
15,3,0,1,0,1,0,0,0,0,3,3,25,4,4.6,9,0.15,1,95,2,6,17,1.02,0.98,0.95,5,4,2,1,121092,5,5,20,3,5.05,,0.25,0,2,6,17,1.05,1.01,2,3,3,13,1,1,25
16,3,0,1,0,1,0,0,0,0,0,6,22,4,4.5,13,0.25,0,50,2,6,17,1,1,,5,5,1,1,110592,,7,17,3,5.05,19,0.25,0,2,6,17,1.05,1.01,0.94,5,5,14,0,1,28
16,3,0,1,0,1,0,0,0,0,0,6,22,4,4.5,13,0.25,0,50,2,6,17,1,1,,5,5,1,1,110592,,7,17,3,5.05,19,0.25,0,2,6,17,1.05,1.01,0.94,5,5,14,1,1,24
17,3,0,1,0,1,0,0,0,0,0,0,20,4,4.37,13,0.25,0,60,2,6,17,1.06,1,2.02,6,5,1,1,111692,1,4,35,4,5.05,13,0.2,0,2,6,17,1.05,0.94,0.95,6,5,15,0,1,20
17,3,0,1,0,1,0,0,0,0,0,0,20,4,4.37,13,0.25,0,60,2,6,17,1.06,1,2.02,6,5,1,1,111692,1,4,35,4,5.05,13,0.2,0,2,6,17,1.05,0.94,0.95,6,5,15,1,1,39
18,3,0,1,0,1,0,0,0,0,2,15,25,3,4.25,13,,0,50,2,6,17,,,,4,4,1,1,110592,,8,38,5,5.05,,0.25,1,2,6,17,1.05,1,0.63,7,7,16,0,1,40
18,3,0,1,0,1,0,0,0,0,2,15,25,3,4.25,13,,0,50,2,6,17,,,,4,4,1,1,110592,,8,38,5,5.05,,0.25,1,2,6,17,1.05,1,0.63,7,7,16,1,1,46
19,1,0,1,1,0,0,0,0,0,3,4,31,4,4.25,4,0.25,0,50,2,6,16,1.05,0.91,0.93,3,3,1,1,110592,,6,44,5,5.05,52,0.3,0,2,6,16,1.04,0.93,0.95,2,2,17,0,1,35
19,1,0,1,1,0,0,0,0,0,3,4,31,4,4.25,4,0.25,0,50,2,6,16,1.05,0.91,0.93,3,3,1,1,110592,,6,44,5,5.05,52,0.3,0,2,6,16,1.04,0.93,0.95,2,2,17,1,1,50
21,2,0,1,1,0,0,0,0,0,0,5,12,3,4.45,6,0.1,0,90,2,10.5,10.5,1.06,0.8,2.13,3,3,1,1,111492,1,0,11,2,5.05,,,0,2,11,10,0.94,0.94,2.43,3,3,18,0,1,17
21,2,0,1,1,0,0,0,0,0,0,5,12,3,4.45,6,0.1,0,90,2,10.5,10.5,1.06,0.8,2.13,3,3,1,1,111492,1,0,11,2,5.05,,,0,2,11,10,0.94,0.94,2.43,3,3,18,1,1,11
22,3,0,1,1,0,0,0,0,0,2,3,15,4,4.35,26,0.12,0,90,2,7,16,1.06,0.84,0.95,4,1,1,1,110592,,3,15,2,5.05,19,0.13,0,2,7,15,1.05,1.05,0.94,4,4,19,0,1,18
22,3,0,1,1,0,0,0,0,0,2,3,15,4,4.35,26,0.12,0,90,2,7,16,1.06,0.84,0.95,4,1,1,1,110592,,3,15,2,5.05,19,0.13,0,2,7,15,1.05,1.05,0.94,4,4,19,1,1,18
23,1,0,1,0,0,1,0,0,0,2,0,25,3,4.5,26,0.12,0,75,2,7,16,1.06,0.95,0.95,3,2,1,1,111792,1,14,14,3,5.05,,,0,1,6.5,16.5,1.05,0.94,0.94,3,2,20,0,1,25
23,1,0,1,0,0,1,0,0,0,2,0,25,3,4.5,26,0.12,0,75,2,7,16,1.06,0.95,0.95,3,2,1,1,111792,1,14,14,3,5.05,,,0,1,6.5,16.5,1.05,0.94,0.94,3,2,20,1,1,28
24,1,0,1,0,1,0,0,0,0,2,15,15,4,4.75,13,0.25,1,40,2,7,16,1.06,0.95,1.01,4,3,2,1,122192,3,15,20,4,5.05,52,0.15,0,2,,,1.05,0.94,1,4,3,21,0,1,30
24,1,0,1,0,1,0,0,0,0,2,15,15,4,4.75,13,0.25,1,40,2,7,16,1.06,0.95,1.01,4,3,2,1,122192,3,15,20,4,5.05,52,0.15,0,2,,,1.05,0.94,1,4,3,21,1,1,35
26,1,0,1,0,0,1,0,0,0,3,30,15,4,5.56,6,,1,,2,7,16,1.06,0.91,0.98,4,2,1,1,111792,2,10,20,4,5.05,,,0,2,7,16,1.01,0.94,0.94,5,4,22,0,1,45
26,1,0,1,0,0,1,0,0,0,3,30,15,4,5.56,6,,1,,2,7,16,1.06,0.91,0.98,4,2,1,1,111792,2,10,20,4,5.05,,,0,2,7,16,1.01,0.94,0.94,5,4,22,1,1,30
27,2,1,1,0,1,0,0,0,0,2,4,10,4,5,,0.37,0,0,1,11,10,1.06,0.85,2.34,4,3,1,1,111292,,0,7,4,5.05,26,0.25,0,1,11,10,1.05,0.84,2.53,4,3,23,0,1,14
27,2,1,1,0,1,0,0,0,0,2,4,10,4,5,,0.37,0,0,1,11,10,1.06,0.85,2.34,4,3,1,1,111292,,0,7,4,5.05,26,0.25,0,1,11,10,1.05,0.84,2.53,4,3,23,1,1,7
28,2,0,1,0,0,1,0,0,0,6,0,14,1,4.5,,0.25,0,10,2,11,10,1.06,1.17,2.56,2,1,1,1,111892,3,6,2,3,,,,0,1,11,10,,1.05,2.64,3,2,24,0,1,14
28,2,0,1,0,0,1,0,0,0,6,0,14,1,4.5,,0.25,0,10,2,11,10,1.06,1.17,2.56,2,1,1,1,111892,3,6,2,3,,,,0,1,11,10,,1.05,2.64,3,2,24,1,1,8
29,2,0,1,0,0,1,0,0,0,3,0,7,2,4.5,4,0.25,0,,2,11,11,1.06,1.01,2.56,3,2,1,1,111292,,0,13,3,5.05,26,0.25,0,1,11,11,1.05,1.05,2.64,3,3,25,0,1,7
29,2,0,1,0,0,1,0,0,0,3,0,7,2,4.5,4,0.25,0,,2,11,11,1.06,1.01,2.56,3,2,1,1,111292,,0,13,3,5.05,26,0.25,0,1,11,11,1.05,1.05,2.64,3,3,25,1,1,13
30,2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,0.37,0,0,1,11,10,1.06,1.06,2.53,2,2,1,1,111292,,4,3,2,5.05,19,0.25,1,1,11,10,0.94,0.92,2.69,2,2,26,0,1,10
30,2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,0.37,0,0,1,11,10,1.06,1.06,2.53,2,2,1,1,111292,,4,3,2,5.05,19,0.25,1,1,11,10,0.94,0.92,2.69,2,2,26,1,1,7
31,2,0,1,0,1,0,0,0,0,2,4,16,3,5.25,13,0.15,0,0,2,11,11,1.03,1.06,2.56,4,3,1,1,111492,3,6,15,5,5.05,26,0.25,0,1,10.5,12.5,1,1.05,2.64,4,4,27,0,1,20
31,2,0,1,0,1,0,0,0,0,2,4,16,3,5.25,13,0.15,0,0,2,11,11,1.03,1.06,2.56,4,3,1,1,111492,3,6,15,5,5.05,26,0.25,0,1,10.5,12.5,1,1.05,2.64,4,4,27,1,1,21
32,3,0,1,0,0,1,0,0,0,0,10,20.5,3,4.5,26,0.25,0,40,2,10.5,11.5,1.12,1.02,1.06,4,3,1,1,111792,1,2,25,3,5.05,26,0.23,0,2,10.5,11.5,1.22,1.11,2.28,4,4,28,0,1,30.5
32,3,0,1,0,0,1,0,0,0,0,10,20.5,3,4.5,26,0.25,0,40,2,10.5,11.5,1.12,1.02,1.06,4,3,1,1,111792,1,2,25,3,5.05,26,0.23,0,2,10.5,11.5,1.22,1.11,2.28,4,4,28,1,1,27
33,3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,0.25,0,7,2,6,17,1.02,1.07,0.95,5,4,1,1,111392,,6,11,5,5.05,,0.2,0,2,6,17,1.11,1.06,1.05,4,2,29,0,1,32
33,3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,0.25,0,7,2,6,17,1.02,1.07,0.95,5,4,1,1,111392,,6,11,5,5.05,,0.2,0,2,6,17,1.11,1.06,1.05,4,2,29,1,1,17
34,3,1,1,0,0,1,0,0,0,0,5,15,3,4.95,26,,0,75,2,10.5,11.5,1.12,1.02,1.06,5,3,1,1,111392,,11,7,3,5.05,26,0.5,0,2,10.5,11.5,1.22,1.11,0.73,5,2,30,0,1,20
34,3,1,1,0,0,1,0,0,0,0,5,15,3,4.95,26,,0,75,2,10.5,11.5,1.12,1.02,1.06,5,3,1,1,111392,,11,7,3,5.05,26,0.5,0,2,10.5,11.5,1.22,1.11,0.73,5,2,30,1,1,18
35,4,0,1,0,0,1,0,0,0,2,25,6.5,4,4.5,9,0.25,1,,2,10.5,11.5,0.96,0.95,2.13,2,2,1,1,111992,6,13,18,3,5.05,13,0.25,0,2,10.5,11.5,1.03,,,2,2,31,0,1,31.5
35,4,0,1,0,0,1,0,0,0,2,25,6.5,4,4.5,9,0.25,1,,2,10.5,11.5,0.96,0.95,2.13,2,2,1,1,111992,6,13,18,3,5.05,13,0.25,0,2,10.5,11.5,1.03,,,2,2,31,1,1,31
36,4,0,1,0,1,0,0,0,0,0,8,12,4,5.5,30,0.17,1,0,2,10.5,13,1.02,0.91,2.57,2,2,1,1,111492,,10,35,6,5.05,26,0.15,1,2,10.5,12.5,0.95,0.89,1.19,2,2,32,0,1,20
36,4,0,1,0,1,0,0,0,0,0,8,12,4,5.5,30,0.17,1,0,2,10.5,13,1.02,0.91,2.57,2,2,1,1,111492,,10,35,6,5.05,26,0.15,1,2,10.5,12.5,0.95,0.89,1.19,2,2,32,1,1,45
37,1,0,0,0,0,0,1,0,0,2,21,9,7,4.25,4,0.25,0,33,2,6.5,16.5,0.98,0.84,0.84,5,3,1,1,111092,,6,25,7,4.25,52,0.18,0,2,6.5,16.5,0.98,0.84,0.86,6,3,33,0,0,30
37,1,0,0,0,0,0,1,0,0,2,21,9,7,4.25,4,0.25,0,33,2,6.5,16.5,0.98,0.84,0.84,5,3,1,1,111092,,6,25,7,4.25,52,0.18,0,2,6.5,16.5,0.98,0.84,0.86,6,3,33,1,0,31
38,1,0,1,0,1,0,0,0,0,0,15,20,5,4.25,17,0.15,0,100,2,6,17,1.05,0.95,0.98,3,2,1,1,111092,,10,20,6,5.05,,0.25,0,3,6.5,17.5,0.98,0.82,0.76,3,2,34,0,1,35
38,1,0,1,0,1,0,0,0,0,0,15,20,5,4.25,17,0.15,0,100,2,6,17,1.05,0.95,0.98,3,2,1,1,111092,,10,20,6,5.05,,0.25,0,3,6.5,17.5,0.98,0.82,0.76,3,2,34,1,1,30
39,1,0,0,0,0,0,1,0,0,0,1,32,2,4.25,8,,0,100,2,6.5,17.5,1.03,0.73,0.52,4,2,1,1,111792,,5,15,3,,,,0,2,6.5,16.5,1.05,,0.63,4,2,35,0,0,33
39,1,0,0,0,0,0,1,0,0,0,1,32,2,4.25,8,,0,100,2,6.5,17.5,1.03,0.73,0.52,4,2,1,1,111792,,5,15,3,,,,0,2,6.5,16.5,1.05,,0.63,4,2,35,1,0,20
40,1,0,0,0,0,0,1,0,0,0,10,20,7,4.25,4,0.15,0,100,2,6.5,16.5,0.98,0.82,0.8,3,3,1,1,111092,,7,25,6,4.25,8,0.13,0,2,6.5,17.5,0.98,0.82,0.87,3,2,36,0,0,30
40,1,0,0,0,0,0,1,0,0,0,10,20,7,4.25,4,0.15,0,100,2,6.5,16.5,0.98,0.82,0.8,3,3,1,1,111092,,7,25,6,4.25,8,0.13,0,2,6.5,17.5,0.98,0.82,0.87,3,2,36,1,0,32
41,1,0,0,0,0,0,1,0,0,0,0,27,6,4.25,18,0.2,0,100,2,6.5,16.5,0.98,0.82,0.85,3,3,1,1,111892,2,0,42,6,4.25,,,0,2,6.5,17.5,0.94,0.78,0.91,3,2,37,0,0,27
41,1,0,0,0,0,0,1,0,0,0,0,27,6,4.25,18,0.2,0,100,2,6.5,16.5,0.98,0.82,0.85,3,3,1,1,111892,2,0,42,6,4.25,,,0,2,6.5,17.5,0.94,0.78,0.91,3,2,37,1,0,42
42,1,0,0,0,0,0,1,0,0,2,17,4,5,4.5,,,0,100,2,6.5,16.5,0.98,0.83,0.86,3,3,1,1,111792,1,0,22,5,4.25,26,0.25,0,2,6.5,16.5,0.94,,,3,2,38,0,0,21
42,1,0,0,0,0,0,1,0,0,2,17,4,5,4.5,,,0,100,2,6.5,16.5,0.98,0.83,0.86,3,3,1,1,111792,1,0,22,5,4.25,26,0.25,0,2,6.5,16.5,0.94,,,3,2,38,1,0,22
45,1,0,0,0,0,0,1,0,0,0,0,24,6,4.25,2,0.25,0,25,2,7,16,0.98,0.83,0.86,3,3,1,1,111092,,11,12,2,4.25,26,0.15,0,3,6.5,17.5,0.98,0.75,0.86,3,3,39,0,0,24
45,1,0,0,0,0,0,1,0,0,0,0,24,6,4.25,2,0.25,0,25,2,7,16,0.98,0.83,0.86,3,3,1,1,111092,,11,12,2,4.25,26,0.15,0,3,6.5,17.5,0.98,0.75,0.86,3,3,39,1,0,23
46,1,0,0,0,0,0,1,0,0,0,30,15,3,,19,,1,,2,6.5,16.5,1.03,1.03,0.52,3,3,1,1,111792,1,3.5,35,3,4.3,26,0.08,1,2,6.5,16.5,1.03,,0.94,4,4,40,0,0,45
46,1,0,0,0,0,0,1,0,0,0,30,15,3,,19,,1,,2,6.5,16.5,1.03,1.03,0.52,3,3,1,1,111792,1,3.5,35,3,4.3,26,0.08,1,2,6.5,16.5,1.03,,0.94,4,4,40,1,0,38.5
47,1,0,0,0,0,0,1,0,0,2,25,15,,4.5,4,0.17,0,75,2,6,17,1.05,0.86,0.86,3,3,1,1,111092,,0,45,2,4.25,,,0,2,6,18,1.05,0.86,0.86,3,,41,0,0,40
47,1,0,0,0,0,0,1,0,0,2,25,15,,4.5,4,0.17,0,75,2,6,17,1.05,0.86,0.86,3,3,1,1,111092,,0,45,2,4.25,,,0,2,6,18,1.05,0.86,0.86,3,,41,1,0,45
48,1,0,0,0,0,0,1,0,0,0,6,20,3,4.25,13,0.2,1,31,3,7,14,1.01,0.84,0.63,4,3,1,1,111092,,7.5,25,5,4.38,13,0.25,1,3,7,14,0.98,0.79,0.87,4,3,42,0,0,26
48,1,0,0,0,0,0,1,0,0,0,6,20,3,4.25,13,0.2,1,31,3,7,14,1.01,0.84,0.63,4,3,1,1,111092,,7.5,25,5,4.38,13,0.25,1,3,7,14,0.98,0.79,0.87,4,3,42,1,0,32.5
49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4,,26,,0,,2,10,13,1.01,0.9,2.35,4,3,1,1,111292,,0,15,4,4.45,13,0.05,0,2,10,13,1.01,0.89,2.35,4,4,43,0,0,13
49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4,,26,,0,,2,10,13,1.01,0.9,2.35,4,3,1,1,111292,,0,15,4,4.45,13,0.05,0,2,10,13,1.01,0.89,2.35,4,4,43,1,0,15
50,2,0,0,0,0,0,1,0,0,0,6,10,3,4.5,13,,0,20,2,10,12,1.01,0.89,3.5,4,3,1,1,111292,,4,20,3,4.75,13,0.1,0,2,10,13,1.01,0.89,2.35,4,3,44,0,0,16
50,2,0,0,0,0,0,1,0,0,0,6,10,3,4.5,13,,0,20,2,10,12,1.01,0.89,3.5,4,3,1,1,111292,,4,20,3,4.75,13,0.1,0,2,10,13,1.01,0.89,2.35,4,3,44,1,0,24
51,2,0,0,0,0,0,1,0,0,1,0,15,3,4.25,,0.15,0,100,2,10,13,1.01,0.89,2.35,4,3,1,1,111792,2,6,15,3,4.25,,,0,2,10,13,1,0.89,2.35,5,3,45,0,0,15
51,2,0,0,0,0,0,1,0,0,1,0,15,3,4.25,,0.15,0,100,2,10,13,1.01,0.89,2.35,4,3,1,1,111792,2,6,15,3,4.25,,,0,2,10,13,1,0.89,2.35,5,3,45,1,0,21
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0.1,1,0,2,10,12,0.87,0.82,1.79,2,2,1,1,111492,,0,36,2,5.25,26,0.15,0,2,10,12,0.92,0.79,0.87,2,2,46,0,0,40
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0.1,1,0,2,10,12,0.87,0.82,1.79,2,2,1,1,111492,,0,36,2,5.25,26,0.15,0,2,10,12,0.92,0.79,0.87,2,2,46,1,0,36
57,4,1,0,0,0,0,1,0,0,0,30,10,3,4.67,26,0.07,1,70,2,10,12,0.87,0.79,0.9,2,2,1,1,111492,1,7,18,4,4.5,26,0.13,1,2,10,12,1.01,0.78,0.9,2,2,47,0,0,40
57,4,1,0,0,0,0,1,0,0,0,30,10,3,4.67,26,0.07,1,70,2,10,12,0.87,0.79,0.9,2,2,1,1,111492,1,7,18,4,4.5,26,0.13,1,2,10,12,1.01,0.78,0.9,2,2,47,1,0,25
58,4,1,0,0,0,0,1,0,0,2,8,25,3,4.75,26,0.15,0,80,2,10,12,0.87,0.77,1.01,2,2,1,1,111492,2,0,28,4,4.5,26,0.08,1,2,10,12,1.04,0.84,0.94,2,2,48,0,0,33
58,4,1,0,0,0,0,1,0,0,2,8,25,3,4.75,26,0.15,0,80,2,10,12,0.87,0.77,1.01,2,2,1,1,111492,2,0,28,4,4.5,26,0.08,1,2,10,12,1.04,0.84,0.94,2,2,48,1,0,28
59,4,0,0,0,0,0,1,0,0,3,0,15,3,4.25,26,0.1,0,90,1,7.5,10.5,0.91,0.89,0.81,2,2,1,1,111492,1,0,16,4,4.25,26,0.1,0,1,7.5,10.5,1.01,0.84,0.86,2,2,49,0,0,15
59,4,0,0,0,0,0,1,0,0,3,0,15,3,4.25,26,0.1,0,90,1,7.5,10.5,0.91,0.89,0.81,2,2,1,1,111492,1,0,16,4,4.25,26,0.1,0,1,7.5,10.5,1.01,0.84,0.86,2,2,49,1,0,16
60,4,0,0,0,0,0,1,0,0,0,10,20,5,4.25,4,0.1,0,75,1,10.5,11.5,0.94,0.74,0.86,2,2,1,1,111792,2,10,20,5,4.25,4,0.25,0,1,10,12,0.98,0.84,0.86,2,2,50,0,0,30
60,4,0,0,0,0,0,1,0,0,0,10,20,5,4.25,4,0.1,0,75,1,10.5,11.5,0.94,0.74,0.86,2,2,1,1,111792,2,10,20,5,4.25,4,0.25,0,1,10,12,0.98,0.84,0.86,2,2,50,1,0,30
61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,0.15,1,0,3,10,12,0.87,0.77,1.65,2,2,1,1,111492,,28,3,6,4.75,13,0.15,0,2,10,12,1.01,0.84,0.95,2,2,51,0,0,32
61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,0.15,1,0,3,10,12,0.87,0.77,1.65,2,2,1,1,111492,,28,3,6,4.75,13,0.15,0,2,10,12,1.01,0.84,0.95,2,2,51,1,0,31
63,1,1,1,0,0,1,0,0,0,1,26,6,,4.25,26,,0,75,2,6,18,1.1,0.97,1.17,4,3,1,1,111792,1,15,10,4,5.05,26,0.1,0,2,7,18,1.11,1.01,1.09,4,3,52,0,1,32
63,1,1,1,0,0,1,0,0,0,1,26,6,,4.25,26,,0,75,2,6,18,1.1,0.97,1.17,4,3,1,1,111792,1,15,10,4,5.05,26,0.1,0,2,7,18,1.11,1.01,1.09,4,3,52,1,1,25
64,1,0,1,0,0,1,0,0,0,1,20,15,3,4.5,26,0.2,0,60,3,7,16,1.06,0.95,0.95,3,2,1,1,111092,,13,13,3,5.05,26,0.25,0,2,7,16,1.05,0.95,0.95,3,3,53,0,1,35
64,1,0,1,0,0,1,0,0,0,1,20,15,3,4.5,26,0.2,0,60,3,7,16,1.06,0.95,0.95,3,2,1,1,111092,,13,13,3,5.05,26,0.25,0,2,7,16,1.05,0.95,0.95,3,3,53,1,1,26
66,1,0,1,0,0,1,0,0,0,0,15,18,3,4.25,26,0.15,0,20,2,7,17,1.06,0.95,0.95,3,2,1,1,111092,,26,10,4,5.05,26,0.25,1,1,7,17,1.05,0.95,0.95,3,3,54,0,1,33
66,1,0,1,0,0,1,0,0,0,0,15,18,3,4.25,26,0.15,0,20,2,7,17,1.06,0.95,0.95,3,2,1,1,111092,,26,10,4,5.05,26,0.25,1,1,7,17,1.05,0.95,0.95,3,3,54,1,1,36
67,1,0,1,0,0,1,0,0,0,0,5,15,6,4.5,13,0.25,0,55,1,8,13.5,1.17,1.06,1.17,3,2,1,1,111092,,4,17.5,5,5.05,,,0,1,8,13.5,1.32,1.05,1.22,3,3,55,0,1,20
67,1,0,1,0,0,1,0,0,0,0,5,15,6,4.5,13,0.25,0,55,1,8,13.5,1.17,1.06,1.17,3,2,1,1,111092,,4,17.5,5,5.05,,,0,1,8,13.5,1.32,1.05,1.22,3,3,55,1,1,21.5
68,1,0,1,0,0,1,0,0,0,1,30,10,3,4.25,14,0.05,0,,3,7,17,1.07,1.02,1.02,3,3,1,1,111092,,13,17,3,5.05,13,0.28,0,3,7,17,1.05,0.95,0.95,3,1,56,0,1,40
68,1,0,1,0,0,1,0,0,0,1,30,10,3,4.25,14,0.05,0,,3,7,17,1.07,1.02,1.02,3,3,1,1,111092,,13,17,3,5.05,13,0.28,0,3,7,17,1.05,0.95,0.95,3,1,56,1,1,30
69,1,0,1,0,0,1,0,0,0,0,0,27,3,4.25,13,0.22,0,100,2,7,18,1.17,0.95,0.95,4,2,1,1,111792,,0,27,3,5.05,13,0.2,0,2,7,18,1.26,1.01,1,4,2,57,0,1,27
